"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"4/6/2022 8 p.m. EDT",33486,25699,28911,37660,86130,78111,14011,37636,17393,27118,13788,16971,46749
US48,"4/6/2022 9 p.m. EDT",35406,25883,28890,36673,86918,78521,13743,38155,17179,27093,14002,17252,45201
US48,"4/6/2022 10 p.m. EDT",36802,24817,29489,34441,84404,78742,12922,38852,16438,26317,14095,17051,45006
US48,"4/6/2022 11 p.m. EDT",36999,23046,28889,31604,80454,75835,11829,39763,15362,24829,13902,16297,43180
US48,"4/7/2022 12 a.m. EDT",36660,21094,27521,28453,77972,72354,10918,39348,14414,23135,13468,15292,40248
US48,"4/7/2022 1 a.m. EDT",34836,19548,26292,25799,75183,69455,10374,37927,13728,21913,12622,14495,36926
US48,"4/7/2022 2 a.m. EDT",32181,18594,25603,23835,73691,67943,10539,35832,13302,21361,11743,13965,34575
US48,"4/7/2022 3 a.m. EDT",29534,17982,25246,22883,72816,66690,10509,34138,13040,20717,10754,13678,33136
US48,"4/7/2022 4 a.m. EDT",27941,17637,25207,22358,72786,66084,10510,33181,12982,20228,10148,13641,32310
US48,"4/7/2022 5 a.m. EDT",26627,17806,25325,22470,73986,66310,10811,32794,13179,20134,9730,13801,31949
US48,"4/7/2022 6 a.m. EDT",25700,18711,25838,23612,76552,67521,11368,32855,14010,20771,9457,14480,32342
US48,"4/7/2022 7 a.m. EDT",25193,20770,27211,25701,82180,71043,12475,33474,15435,21674,9383,15705,34188
US48,"4/7/2022 8 a.m. EDT",25489,21877,29490,27049,86893,76206,13298,35099,16552,22663,9601,17012,37369
US48,"4/7/2022 9 a.m. EDT",26649,22305,30630,28510,88479,78289,13405,38115,17173,23313,10191,17344,38765
US48,"4/7/2022 10 a.m. EDT",28458,22662,30697,30500,89301,78075,13229,40792,17493,23801,10410,17114,38927
US48,"4/7/2022 11 a.m. EDT",29148,22974,30573,32287,89718,77912,13109,41433,17663,24188,10239,17026,39326
US48,"4/7/2022 12 p.m. EDT",29290,23172,30456,33564,89831,77808,12986,40597,17778,24397,10251,16809,39941
US48,"4/7/2022 1 p.m. EDT",29609,23450,30264,34100,89540,77634,12878,39409,17775,24616,10155,16551,40092
US48,"4/7/2022 2 p.m. EDT",29843,24009,30015,34141,89117,77074,12911,38192,17809,24786,10200,16444,40242
US48,"4/7/2022 3 p.m. EDT",29920,24225,29770,33716,88258,76895,13039,37328,17771,24915,10454,16138,40547
